"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Открыть главную страницу, перейти на страницу регистрации, создать новый аккаунт, проверить, что перешли на страницу логина","2719","Проверка регистрации нового пользователя","tests","Mon Aug 18 20:02:26 UTC 2025","passed","Mon Aug 18 20:02:29 UTC 2025","TestSignupPage","test_signup_page","",""
"Открыть страницу логина, залогиниться, создать рецепт, проверить, что рецепт создан","5193","Проверка создания рецепта","tests","Mon Aug 18 20:02:17 UTC 2025","passed","Mon Aug 18 20:02:22 UTC 2025","TestRecipesPage","test_recipes_page","",""
"Открыть страницу логина, залогиниться, проверить, что перешли на страницу рецептов","2246","Проверка авторизации пользователя","tests","Mon Aug 18 20:02:23 UTC 2025","passed","Mon Aug 18 20:02:25 UTC 2025","TestSigninPage","test_signin_page","",""
